title,company,industry,seniority,min,max,skills,description,location,source,posted,url
(Entry-Level) 🌈 Customer Service Events Coordinator 🌈,EMINENCE ORGANIZATION PTE. LTD.,Customer Service / Events / Promotions / Hospitality / Marketing / Public Relations / Sales / Retail,Entry,3500,3800,Sales;Leadership;Interpersonal Skills;People-oriented;Marketing;Event Management;Multitasking;Attention to Detail;Career Coaching;Enjoy Working with People;Goal-driven Leader;Team Player,"🎉 Entry-Level Events Coordinator (Training Provided) Looking to gain hands-on experience in events and brand campaigns? Join a supportive team where you'll learn, grow, and build valuable skills. ✨ What You'll Do • Assist with events and brand activations • Support campaign execution and customer engagement • Work closely with team leaders to ensure smooth operations 🎁 What We Offer • Structured training and mentorship • Exposure to various events and campaigns • Travel opportunities and performance-based, uncapped earnings • Clear career progression opportunities 🌟 Who We're Looking For • Organised, reliable, and proactive individuals • Strong communication skills and willingness to learn • No experience required — full training provided 🚀 Apply now and start building your career with us!","D01 Marina, Raffles Place, People's Park, Cecil",MyCareersFuture MCF-2026-1238335,2026-07-20,https://www.mycareersfuture.gov.sg/job/customer-service/%F0%9F%8C%88-customer-service-events-coordinator-%F0%9F%8C%88-eminence-organization-c25d5b3744ea81b08231b24142dbc548
[❤️NEW OPENING❤️] EVENTS CAMPAIGN SPECIALIST,EMINENCE ORGANIZATION PTE. LTD.,Customer Service / Events / Promotions / General Management / Marketing / Public Relations / Sales / Retail,Junior,3200,4000,Resilience;Sales;Teamwork;Leadership;Quality Management;Brand Communication;Self-driven;Leadership Development;Results Oriented;Marketing;Event Management;Reliable,"Employment Type : Full-time Position : Entry Level | Immediate Start Available Entry-Level Campaign Specialist (Training Provided) Looking to start your career in a fast-paced and exciting environment? Join us to gain hands-on experience in events, campaigns, and customer engagement! What You’ll Do • Assist in events and promotional activities • Support marketing campaigns to grow brand awareness • Work with the team to ensure smooth event operations • Interact with customers and represent brands professionally What You’ll Get • Full training provided • One-on-one mentorship • Career growth opportunities • Travel opportunities • Performance-based earnings Who We’re Looking For • Good communication and teamwork skills • Willing to learn and grow • Responsible and have a proactive attitude • No experience needed Only shortlisted candidates will be contacted.","D01 Marina, Raffles Place, People's Park, Cecil",MyCareersFuture MCF-2026-1238359,2026-07-20,https://www.mycareersfuture.gov.sg/job/customer-service/%E2%9D%A4%EF%B8%8Fnew-opening%E2%9D%A4%EF%B8%8F-events-campaign-specialist-eminence-organization-2e2d90d7436f3db3b55bc51044bd40cc
[⭐️NEW OPENING⭐️] EVENTS CUSTOMER SERVICE,EMINENCE ORGANIZATION PTE. LTD.,Customer Service / Events / Promotions / General Management / Marketing / Public Relations / Sales / Retail,Junior,3200,5000,Resilience;Sales;Leadership;Quality Management;Brand Communication;Self-driven;Leadership Development;Results Oriented;Marketing;Event Management;Reliable;Enthusiasm to learn,"Employment Type : Full-time Position : Entry Level | Immediate Start Available Entry-Level Campaign Specialist (Training Provided) Looking to start your career in a fast-paced and exciting environment? Join us to gain hands-on experience in events, campaigns, and customer engagement! What You’ll Do • Assist in events and promotional activities • Support marketing campaigns to grow brand awareness • Work with the team to ensure smooth event operations • Interact with customers and represent brands professionally What You’ll Get • Full training provided • One-on-one mentorship • Career growth opportunities • Travel opportunities • Performance-based earnings Who We’re Looking For • Good communication and teamwork skills • Willing to learn and grow • Responsible and have a proactive attitude • No experience needed Only shortlisted candidates will be contacted.","D01 Marina, Raffles Place, People's Park, Cecil",MyCareersFuture MCF-2026-1238347,2026-07-20,https://www.mycareersfuture.gov.sg/job/customer-service/%E2%AD%90%EF%B8%8Fnew-opening%E2%AD%90%EF%B8%8F-events-customer-service-eminence-organization-680ebe819b39d76a7665c0f6ba675d66
☀️ Brand Outreach Associate | Training Provided | Career Growth☀️,EMINENCE ORGANIZATION PTE. LTD.,Customer Service / Events / Promotions / Marketing / Public Relations,Entry,2900,3900,B2C Communication;Communication;B2C;Sales;Teamwork;Assist team;Brand Ambassadors;Soft Skills;Enthusiasm to learn;Team Leadership;Team Player;Personal Development,"🚀 Kickstart Your Career with Us! 🌟 Looking for a dynamic role where you can learn, grow, and gain real-world experience? We are seeking motivated individuals to join our team and support exciting brand campaigns and outreach projects. 💼 What You’ll Do Engage with diverse audiences Support marketing and outreach initiatives Work closely with a driven team Develop communication and leadership skills 🎓 What You’ll Gain Full training and coaching provided Career progression opportunities Travel and networking exposure Competitive pay with incentives 🌟 Who We’re Looking For Positive and motivated individuals Strong communication skills Team players eager to grow 📩 Apply now and build a rewarding career with us! Only shortlisted candidates will be contacted.","D01 Marina, Raffles Place, People's Park, Cecil",MyCareersFuture MCF-2026-1238301,2026-07-20,https://www.mycareersfuture.gov.sg/job/customer-service/%E2%98%80%EF%B8%8F-brand-outreach-associate-training-provided-career-growth%E2%98%80%EF%B8%8F-eminence-organization-ab4aa4166cb3007eb983a41576872faa
✅Step Up! Leadership Growth Associate (Entry-Level) ✅,EMINENCE ORGANIZATION PTE. LTD.,Events / Promotions / Marketing / Public Relations,Entry,2800,3800,B2C Communication;B2C;Road Shows;Sales;Teamwork;Brand Marketing;Campaigns;Soft Skills;Marketing;Enthusiasm to learn;Team Player;brand events,"This isn’t a desk job. It’s for people who thrive under pressure and love fast-paced challenges. 💼 What You’ll Do: • Represent brands at events, roadshows, and campaigns • Engage diverse customers and personalities • Hit targets while building communication, sales & leadership skills 🧩 Who You Are: • Energized by challenges • Adaptable and proactive • Motivated to grow fast 🎁 What You Get: • Hands-on training & mentorship • Performance-based career progression • Exposure to local & overseas events • Supportive, competitive team culture 📩 Apply now if you’re ready to take your career to the next level!","D01 Marina, Raffles Place, People's Park, Cecil",MyCareersFuture MCF-2026-1238305,2026-07-20,https://www.mycareersfuture.gov.sg/job/events/%E2%9C%85step-up-leadership-growth-associate-%E2%9C%85-eminence-organization-ca9693f98269ea0bfef59a4944b3f285
✈️ [NO EXP] FUN SALES ASSOCIATE🤩,EMINENCE ORGANIZATION PTE. LTD.,Customer Service / Events / Promotions / Marketing / Public Relations,Entry,2500,3500,B2C Communication;B2C;Sales;Teamwork;Leadership;Interpersonal Skills;Assist team;Soft Skills;Sales Process;Enthusiasm to learn;Team Leadership;Friendly Personality,"🎉 NO EXPERIENCE? NO PROBLEM. 👀 We’re looking for FUN Event Crew to join our growing team! 🚀 ✨ What you’ll get: • Fun working environment • Travel & networking opportunities ✈️ • Personal development & mentorship • Career progression opportunities 📈 • Team bonding, events & good vibes only 😎 💼 Role: • Assist in events & campaigns • Engage with customers • Learn sales & communication skills • Work with a young and motivated team 👤 We want someone who is: • Outgoing & willing to learn • Positive attitude 💯 • Team player • Ready to step out of comfort zone 📍Singapore-based 🎓 No experience welcome 🔥 Immediate starters preferred Think you fit the vibe? DM us now to find out more! 📩","D01 Marina, Raffles Place, People's Park, Cecil",MyCareersFuture MCF-2026-1238315,2026-07-20,https://www.mycareersfuture.gov.sg/job/customer-service/%E2%9C%88%EF%B8%8F-no-exp-fun-sales-associate%F0%9F%A4%A9-eminence-organization-b81022e981b66db091a0f04ae6e6d175
✈️ Brand Growth Associate (🌍 Travel Opportunities 🚀）,ALTIUS ORG,Entertainment / Events / Promotions / General Management / Marketing / Public Relations / Sales / Retail,Entry,2800,4000,Generating Brand Awareness;Communication;Dependable Team Player;Teamwork;Event Management;Growing the Brand;Enthusiasm to learn;Taking feedback;Brand Management;Team Building;Global Talent Acquisition;Social Communication,"🌍 About Us We are a growing sales and brand representation company partnering with established brands to expand their market presence through face-to-face marketing, customer engagement, and direct marketing campaigns. Our culture is built around developing people. We provide structured training, ongoing mentorship, and opportunities for career progression, with many of our leaders having started in entry-level positions. ✈️ About the Role We’re looking for motivated and enthusiastic individuals to join our team as Brand Experience Associates. This role offers hands-on experience in customer engagement, brand representation, and business development while equipping you with valuable communication, leadership, and professional skills. Whether you’re a fresh graduate, ORD personnel, or exploring a new career path, we’ll provide the training and support you need to succeed. 🌟 What You’ll Be Doing ✅ Represent established brands through face-to-face marketing campaigns. ✅ Engage with customers and build positive brand experiences. ✅ Support customer acquisition and brand awareness initiatives. ✅ Develop practical skills in communication, teamwork, and leadership. ✅ Collaborate with a ",Islandwide,MyCareersFuture MCF-2026-1146214,2026-07-20,https://www.mycareersfuture.gov.sg/job/entertainment/%E2%9C%88%EF%B8%8F-brand-growth-associate-%F0%9F%8C%8D-travel-opportunities-%F0%9F%9A%80%EF%BC%89-altius-org-9ba3a621b17f3beb9a93e0f4546cd40f
✈️[HIRING] | FUN EVENTS ROLE (LOVE TRAVELLING)✈️,EMINENCE ORGANIZATION PTE. LTD.,Events / Promotions / Marketing / Public Relations,Entry,2800,3800,B2C Communication;B2C;Sales;Teamwork;media exposure;Assist team;Soft Skills;Marketing;Organizational Culture;Team Player;brand events;Positivity,"❇️ Hiring:Join our Events Crew! ❇️ What You’ll Do ✨ Engage with crowds & create unforgettable experiences 🤝 Work alongside a fun, driven team 🚀 Be part of exciting brand events & activations What You’ll Get ✅ No experience needed (we train you!) 📈 Growth opportunities ✈️ Travel exposure We Want You If You Are: 😄 Outgoing, confident & love meeting people ⚡ Thrive in fast-paced environments 👊 Positive, team-oriented mindset Perks 💸 Competitive earnings 🎉 Fun team bonding, outings session 🔥 Vibrant & supportive work culture 📩 APPLY NOW !","D01 Marina, Raffles Place, People's Park, Cecil",MyCareersFuture MCF-2026-1238319,2026-07-20,https://www.mycareersfuture.gov.sg/job/events/%E2%9C%88%EF%B8%8Fhiring-fun-events-role-%E2%9C%88%EF%B8%8F-eminence-organization-4490343b0e0d27faddff1a595622d28d
✨Fun Events Executive ✨,EMINENCE ORGANIZATION PTE. LTD.,Events / Promotions / Marketing / Public Relations / Sales / Retail,Junior,2900,4000,Mentoring;Supporting Marketing Activities;Teamwork;Audience Analysis;Leadership;Marketing Strategy;Promotions;Event Management;Event Planning;Attention to Detail;Active Listening;Brand Presence,"🌟 Events Promoter – Be the Voice, Vibe & Vision of Our Events! 🌟 Join our Events Marketing team and become the heartbeat of major campaigns and on-ground brand experiences! In this role, you’ll turn ideas into excitement, audiences into fans, and events into moments people remember. If you’re creative, fun, and love connecting brands with people in fresh, engaging ways — this is where you shine. What You’ll Do: Drive event awareness through face to face outreach, and creative marketing tactics Represent the brand on-site with confidence and charisma Plan and execute marketing activities that attract crowds and boost engagement Build hype through promotions, and on-ground interactions Analyze audience behavior to improve future events and campaigns Benefits: Training and mentorship provided Positive environment for growth and development Travel opportunities Uncapped earnings Team Nights! KTV, HDL, KBBQ, Laser Tag! Leggo!!! Join us and turn every event into a story worth sharing — where your creativity brings brands to life.","D01 Marina, Raffles Place, People's Park, Cecil",MyCareersFuture MCF-2026-1238354,2026-07-20,https://www.mycareersfuture.gov.sg/job/events/%E2%9C%A8fun-events-executive-%E2%9C%A8-eminence-organization-5cb29c0677021bbec86bf4a766bbf711
⭐️ (Entry Level) Marketing Sales Specialist,VA ORGANIZATION,Advertising / Media / Customer Service / Events / Promotions / Marketing / Public Relations,Entry,3200,4200,Communication;Direct Customer Interaction;Improve Customer Experience;B2B Marketing;execute sales process;Execute Marketing Campaigns;Marketing;Product Information;customer engagement events;B2C Marketing,"🚀 Tired of your job but scared to land on a new opportunities? Options limited because you have no experience? 🚀 This role is ideal for candidates looking for entry role with mentorship! No need fancy certificates or experience, just good learning attitude and you are good to go! Responsibilities - Engage customers at marketing sites and events - Provide basic product/service information - Provide sales execution on the site - Deliver positive customer experiences - Support on-ground marketing campaign execution Requirements - Entry-level candidates welcome (training provided) - Comfortable with face-to-face customer interaction - Good communication skills and positive attitude What We Offer - Hands on marketing exposure - Training and career progression opportunities - Supportive team environment","D01 Marina, Raffles Place, People's Park, Cecil",MyCareersFuture MCF-2026-1238297,2026-07-20,https://www.mycareersfuture.gov.sg/job/advertising/%E2%AD%90%EF%B8%8F-marketing-sales-specialist-va-organization-358a6f0ca042f310708fbf4d2ca0e923
